Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5
2021-03-10,10.34,BB,-1.05263157894736,-1,-0.802,-0.744,-0.208,0.008,0.07
2021-03-11,10.7,BB,3.48162475822049,1,-0.185,0.008,0.177,-0.123,0.111
2021-03-12,11.85,BB,10.7476635514019,1,-0.25,-0.561,-0.254,-0.518,-0.393
2021-03-15,11.68,BB,-1.43459915611814,-1,0.142,-0.227,-0.266,-0.277,-0.36
2021-03-16,11.46,BB,-1.88356164383561,-1,-0.44,-0.689,-0.37,0.234,-0.204
2021-03-17,11.6,BB,1.22164048865618,1,-0.312,-0.081,-0.391,0.989,-0.2
2021-03-18,10.76,BB,-7.24137931034483,-1,-0.123,-0.856,-0.71,-0.245,-0.38
2021-03-19,10.95,BB,1.76579925650557,1,-0.409,-0.531,-0.577,-0.02,-0.98
2021-03-22,10.71,BB,-2.1917808219178,-1,-0.414,-0.637,-0.23,-0.46,-0.514
2021-03-23,10.07,BB,-5.97572362278245,-1,-0.028,-0.605,0.174,-0.299,0.136
2021-03-24,9.58,BB,-4.86593843098312,-1,-0.49,-0.029,-0.354,0.082,-0.456
2021-03-25,9.88,BB,3.13152400835073,1,-0.639,-0.554,-0.328,-0.529,-0.556
2021-03-26,9.63,BB,-2.53036437246964,-1,0.935,-0.55,-0.214,-0.232,-0.241
2021-03-29,9.2,BB,-4.46521287642785,-1,-0.377,0.15,0.884,-0.533,-0.256
2021-03-30,9.34,BB,1.52173913043478,1,-1,0.076,-0.527,-0.447,-0.5
2021-03-31,8.43,BB,-9.74304068522485,-1,0.473,0.223,-0.928,0.079,-0.184
2021-04-01,8.6,BB,2.01660735468565,1,-0.047,-0.969,-0.33,0.593,-0.666
2021-04-06,8.99,BB,-3.33333333333334,-1,-0.181,-0.905,0.063,0.361,-0.551
2021-04-07,8.91,BB,-0.889877641824255,-1,-0.286,-0.518,0.997,0.25,-0.487
2021-04-09,9.13,BB,-3.28389830508473,-1,0.987,-0.729,-0.334,0.499,-0.319
2021-04-12,9.03,BB,-1.09529025191677,-1,-0.02,-0.504,0.945,-0.147,-0.331
2021-04-13,9.1,BB,0.775193798449614,1,-0.67,-0.313,0.995,-0.228,-0.999
2021-04-14,9,BB,-1.09890109890109,-1,-0.003,-0.005,-0.879,-0.277,-0.369
2021-04-20,8.21,BB,-4.75638051044082,-1,-0.326,-0.178,-0.398,-0.35,-0.595
2021-04-23,8.85,BB,2.43055555555554,1,0.161,-0.3,-0.289,-0.543,0.169
2021-04-27,9.29,BB,2.2002200220022,1,-0.781,-0.148,-0.204,0.014,0.108
2021-04-28,9.3,BB,0.107642626480109,1,-0.494,0.208,-0.808,0.057,-0.38
2021-04-29,9.06,BB,-2.58064516129033,-1,0.088,-0.309,-0.988,-0.219,-0.995
2021-05-06,8.15,BB,-0.85158150851582,-1,-0.089,-0.335,-0.428,-0.918,-0.378
2021-01-12,9.92,CLNE,1.12130479102956,1,-0.254,-0.18,-0.417,0.312,-0.103
2021-01-13,10.41,CLNE,4.93951612903225,1,0.262,-0.877,0.526,-0.155,0.357
2021-01-15,9.81,CLNE,-3.9177277179236,-1,0.001,0.103,0.584,-0.303,0
2021-01-21,10.18,CLNE,-3.9622641509434,-1,-0.056,0.158,0.075,-0.45,-0.135
2021-01-22,10.57,CLNE,3.8310412573674,1,-0.125,0.248,0.125,-0.496,0.156
2021-01-25,13.93,CLOV,2.80442804428043,1,-0.015,-1,0.806,0.008,0.974
2021-01-27,14.25,CLOV,-9.58121827411167,-1,-0.914,0.104,0.494,0.403,-0.915
2021-02-05,12.93,CLOV,5.72363041700736,1,-0.197,-0.994,-0.194,0.165,-0.997
2021-04-20,8.62,CLOV,-10.8583247156153,-1,-0.5,-0.343,0.355,-0.904,0.299
2021-04-21,9.05,CLOV,4.98839907192576,1,-0.315,0.47,0.002,-0.537,0.99
2021-04-28,10.5,CLOV,13.6363636363636,1,0,0.208,0.057,-0.989,0.116
2021-04-29,10.17,CLOV,-3.14285714285715,-1,0.962,-1,-0.992,0.645,-0.075
2021-04-30,9.85,CLOV,-3.14650934119961,-1,-0.652,-0.006,-0.648,-0.498,-0.932
2021-05-06,8.23,CLOV,-6.90045248868778,-1,-0.335,-0.536,-0.964,-0.595,0.001
2021-01-14,2.18,OCGN,-12.8,-1,-0.096,-0.272,0.36,-0.5,-0.994
2021-01-15,2.22,OCGN,1.83486238532111,1,0.001,0.037,-0.472,-0.23,0.308
2021-01-19,2.34,OCGN,5.40540540540539,1,0.836,0.928,-0.5,-0.986,-0.005
2021-01-22,2.18,OCGN,-3.11111111111111,-1,-0.545,-0.953,0.091,0.042,0.999
2021-01-25,2.08,OCGN,-4.58715596330276,-1,0.091,-0.618,0.221,-0.178,0.999
2021-01-26,1.92,OCGN,-7.6923076923077,-1,-0.652,0.176,0.003,-0.217,-0.558
2021-01-27,1.66,OCGN,-13.5416666666667,-1,-0.383,-0.333,-0.044,-0.97,-0.771
2021-01-29,1.77,OCGN,-2.74725274725275,-1,-0.291,0.02,0.362,-0.583,0.202
2021-02-01,1.81,OCGN,2.25988700564972,1,-0.264,0.011,-0.179,-0.598,-0.159
2021-02-02,3.26,OCGN,80.110497237569,1,-0.584,-0.701,-0.675,-0.453,-0.042
2021-02-03,2.81,OCGN,-13.8036809815951,-1,0.717,-0.506,0.83,0.307,0.672
2021-02-04,3.25,OCGN,15.6583629893238,1,0.178,-0.769,0.996,-0.043,0.138
2021-02-05,5.25,OCGN,61.5384615384615,1,-0.333,-0.904,-0.298,-0.748,0.056
2021-02-12,10.28,OCGN,-6.4604185623294,-1,0.141,-0.346,-0.12,-0.266,-0.443
2021-02-18,10.17,OCGN,-0.586510263929618,-1,-0.571,-0.033,0.053,0.014,0.148
2021-02-22,9.18,OCGN,-10.6134371957157,-1,-0.969,-0.353,-0.285,-0.178,-0.274
2021-02-23,8.59,OCGN,-6.42701525054466,-1,-0.632,-0.057,0.091,0.615,0.895
2021-03-02,9.6,OCGN,-4.19161676646707,-1,-0.5,-0.33,-0.575,-0.242,-0.473
2021-03-04,8.97,OCGN,-14.244741873805,-1,-0.01,0.984,-0.018,-0.167,-0.693
2021-03-05,8.74,OCGN,-2.56410256410257,-1,0.096,0.209,0.096,-0.212,-0.097
2021-03-12,10,OCGN,4.16666666666667,1,-0.464,-0.332,-0.088,-0.384,-0.011
2021-03-17,9.55,OCGN,4.60021905805039,1,-0.081,-0.244,-0.499,0.334,-0.102
2021-01-06,10.77,TLRY,13.2492113564669,1,-0.799,-0.996,0.569,-0.335,0.23
