Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-02-08,6.18,AMC,-9.51683748169839,-1,-0.302,-0.344,0.043,0.148,-0.446,-1,-0.075,-0.462,-0.499,-1
2021-02-09,5.5,AMC,-11.0032362459547,-1,-0.276,-0.472,-0.969,-0.296,-0.519,-0.958,0.076,-0.599,-0.949,-0.76
2021-02-10,5.8,AMC,5.45454545454545,1,-0.344,-0.742,-0.832,-0.551,-0.614,-0.235,-0.18,-0.615,-0.315,-1
2021-02-11,5.61,AMC,-3.27586206896551,-1,0.032,0,-0.986,-0.782,-0.56,-0.476,-0.57,-0.653,-0.456,-0.83
2021-02-12,5.59,AMC,-0.356506238859189,-1,-0.695,-0.655,0.353,-0.479,-0.442,-0.467,0.174,-0.301,-0.632,-0.17
2021-02-18,5.51,AMC,-0.720720720720724,-1,-0.407,-0.272,-0.512,-1,-0.508,-0.062,-0.434,-0.35,-1,-0.5
2021-02-19,5.7,AMC,3.44827586206897,1,0.343,-0.907,-0.998,-0.686,-0.6,-0.5,0.996,-0.309,0.343,-1
2021-02-23,7.7,AMC,17.5572519083969,1,0.983,0.027,0.943,-0.987,-1,-1,-0.93,-0.07,-0.494,-0.033
2021-02-24,9.09,AMC,18.0519480519481,1,-0.186,0.498,0.997,-0.991,-0.022,-1,0.746,0.751,-0.297,-1
2021-02-25,8.29,AMC,-8.80088008800881,-1,0.002,-0.988,-0.013,-0.717,-1,-1,-0.004,-0.779,-0.436,-0.336
2021-02-26,8.01,AMC,-3.37756332931242,-1,0.799,0.599,-0.502,-0.081,-0.672,-0.976,-0.998,-0.572,-0.571,-0.391
2021-03-01,9.18,AMC,14.6067415730337,1,-0.794,-0.061,-0.342,0.999,-0.165,0.25,-0.431,-0.203,0.223,-0.542
2021-03-02,8.93,AMC,-2.72331154684096,-1,-1,-0.525,-0.386,-0.011,-0.331,-0.33,-0.872,-0.425,-0.998,0.944
2021-03-03,8.58,AMC,-3.91937290033594,-1,-0.097,-0.293,-0.284,-0.72,-0.877,-0.482,-0.193,0,-0.296,0.062
2021-03-04,8.03,AMC,-6.41025641025642,-1,0.977,-0.074,-0.87,-0.066,-0.205,-0.411,-0.456,-1,-0.01,-0.393
2021-03-05,8.05,AMC,0.249066002490683,1,0.94,-0.833,-0.001,-0.41,0.096,-0.375,-0.033,-0.667,-0.983,-0.992
2021-03-09,10.5,AMC,13.0247578040904,1,-0.332,-0.272,0.344,-0.638,-0.108,-0.908,-0.546,-0.13,-0.999,-0.998
2021-03-10,9.85,AMC,-6.19047619047619,-1,-0.824,0.008,0.977,-0.871,-0.999,0.579,-0.33,0.474,0.342,-0.045
2021-03-11,10.28,AMC,4.36548223350253,1,0.745,-0.57,-0.203,-0.123,-0.19,-0.655,0.993,0.021,-0.144,-0.798
2021-03-12,11.16,AMC,8.56031128404671,1,-0.148,-1,-0.207,-0.213,0.293,-0.464,0.929,-0.427,0.539,-0.998
2021-03-16,13.02,AMC,-7.26495726495726,-1,0.783,-0.975,-0.61,0.995,0.061,0.066,1,-0.27,-1,-0.984
2021-03-17,13.56,AMC,4.14746543778803,1,-0.006,-0.911,-0.492,-0.876,-0.19,-0.283,-1,-1,-0.166,-0.652
2021-03-18,14,AMC,3.24483775811208,1,-0.812,-0.27,-0.123,0.646,-0.216,-0.777,0.019,-0.603,-0.673,-0.851
2021-03-25,10.94,AMC,21.2860310421286,1,-0.994,0.081,0.986,0.132,-0.604,-0.364,-0.031,-0.001,-0.987,0.732
2021-03-26,10.24,AMC,-6.39853747714807,-1,-0.55,0.575,-0.232,-0.687,-0.139,-0.503,-0.964,-1,0.645,-0.933
2021-01-05,6.77,BB,2.88753799392096,1,-0.115,-0.981,-0.019,0.9,-0.443,-0.675,-0.062,-0.155,-0.226,0.05
2021-01-06,6.71,BB,-0.886262924667647,-1,-0.522,-0.475,-0.439,-0.372,-0.634,-0.408,-0.188,-0.335,-0.277,-0.214
2021-01-07,7.06,BB,5.21609538002981,1,-0.187,-0.5,-0.4,-0.309,0.72,0.195,-0.385,-0.076,0.458,-0.452
2021-01-08,7.56,BB,7.08215297450425,1,-0.491,-0.999,0.043,-0.403,-0.105,-0.663,-0.749,-0.228,-0.891,0.063
2021-01-11,7.65,BB,1.19047619047621,1,0.238,-0.264,-0.541,-0.242,-0.152,0.227,-0.975,-0.005,0.315,-0.478
2021-01-12,7.63,BB,-0.261437908496742,-1,0.325,0.048,-0.181,0.803,-0.417,-0.296,0.032,0.194,0.358,0.402
2021-01-13,7.44,BB,-2.49017038007863,-1,-0.474,0.032,-0.465,-0.623,-0.334,-0.274,-0.572,-0.4,-0.662,-0.683
2021-01-14,9.11,BB,22.4462365591398,1,-0.015,0.115,-0.392,-0.454,-0.618,-0.418,-0.301,-1,-0.444,-1
2021-01-15,9.84,BB,8.01317233809002,1,-0.598,-0.983,0.016,0.053,-0.096,0.995,-0.207,-0.498,-0.854,-0.705
2021-01-19,12.35,BB,25.5081300813008,1,-0.056,-0.262,-0.402,0.997,-0.677,-0.406,-0.995,0.141,0.836,-0.763
2021-01-20,12.79,BB,3.56275303643725,1,0.021,-0.726,-0.242,-0.845,-0.043,-0.515,-0.99,-0.463,0.308,-0.787
2021-01-21,12.85,BB,0.469116497263489,1,0.139,0.994,-1,0.12,-0.655,-0.99,0.075,-0.998,0.136,0.342
2021-01-22,14.04,BB,9.26070038910505,1,-0.391,0.027,-0.061,-0.919,-0.325,-0.047,0.001,-0.969,0.397,-0.741
2021-01-25,18.030001,BB,28.4188105413105,1,0.091,-0.714,-0.722,0.56,0.996,-0.952,-0.999,-0.998,0.764,0.582
2021-01-26,18.92,BB,4.93621159532938,1,-0.405,-0.494,-0.999,0.882,-0.359,-0.479,0.316,0.918,0.974,-0.054
2021-01-27,25.1,BB,32.6638477801269,1,-0.999,-0.17,-0.924,-0.544,-0.22,-0.637,-0.424,0.057,-0.154,-0.937
2021-01-28,14.65,BB,-41.6334661354582,-1,-0.599,-0.288,-0.394,-0.152,-0.394,-0.08,-0.741,-0.405,0.23,-0.562
2021-01-29,14.1,BB,-3.7542662116041,-1,-0.403,-0.328,-0.421,0.246,0.034,-0.346,-0.215,-0.36,0.1,-0.178
2021-02-01,14.63,BB,3.75886524822695,1,-0.206,-0.313,0.832,-0.99,-0.622,0.011,-0.369,-0.563,-0.214,-0.584
2021-02-02,11.55,BB,-21.0526315789474,-1,-0.282,-0.764,-0.844,-1,-0.284,-0.606,0.012,-0.634,-0.495,-0.89
2021-02-03,12,BB,3.89610389610389,1,-0.714,-0.451,-0.675,-0.041,-0.475,-0.377,-0.854,-0.437,-0.12,0.469
